League of Legends,TAFE Coomera,14-Jan-2023,BioHazards,2
League of Legends,TAFE Coomera,14-Jan-2023,Buttercups,0
League of Legends,TAFE Coomera,14-Jan-2023,Coomera Bombers,2
League of Legends,TAFE Coomera,14-Jan-2023,Nerang Necros,0
DotA 2,TAFE Coomera,15-Jan-2023,BioHazards,0
DotA 2,TAFE Coomera,15-Jan-2023,Buttercups,2
DotA 2,TAFE Coomera,15-Jan-2023,Coomera Bombers,2
DotA 2,TAFE Coomera,15-Jan-2023,Nerang Necros,0
Call of Duty,TAFE Coomera,21-Jan-2023,BioHazards,0
Call of Duty,TAFE Coomera,21-Jan-2023,Buttercups,2
Call of Duty,TAFE Coomera,21-Jan-2023,Coomera Bombers,0
Call of Duty,TAFE Coomera,21-Jan-2023,Nerang Necros,2
Rocket League,TAFE Coomera,22-Jan-2023,BioHazards,2
Rocket League,TAFE Coomera,22-Jan-2023,Buttercups,0
Rocket League,TAFE Coomera,22-Jan-2023,Coomera Bombers,2
Rocket League,TAFE Coomera,22-Jan-2023,Nerang Necros,0
NBA 2K,TAFE Coomera,23-Jan-2023,BioHazards,2
NBA 2K,TAFE Coomera,23-Jan-2023,Buttercups,0
NBA 2K,TAFE Coomera,23-Jan-2023,Coomera Bombers,1
NBA 2K,TAFE Coomera,23-Jan-2023,Nerang Necros,1
Fortnite,TAFE Coomera,24-Jun-2023,BioHazards,0
Fortnite,TAFE Coomera,24-Jun-2023,Buttercups,2
Fortnite,TAFE Coomera,24-Jun-2023,Coomera Bombers,0
Fortnite,TAFE Coomera,24-Jun-2023,Nerang Necros,2
